Genes for module 137
LocusLink	Name	P-value	Description
10716	TBR1	1.62004e-12	T-box, brain, 1.TES-56.T-box, brain, 1.
1298	COL9A2	2.30216e-12	collagen, type IX, alpha 2.MED; EDM2; DJ39G22.4.alpha 2 type IX collagen.
26133	TRPC4AP	3.09797e-12	transient receptor potential cation channel, subfamily C, member 4 associated protein.TRUSS; TRRP4AP; C20orf188.TRPC4-associated protein isoform a.
7216	TRO	3.38218e-12	trophinin.MAGED3; MAGE-d3; KIAA1114.trophinin isoform 4.
22903	BTBD3	5.20117e-12	BTB (POZ) domain containing 3.KIAA0952; dJ742J24.1.BTBPOZ domain containing protein 3 isoform b.
1124	CHN2	6.73595e-12	chimerin (chimaerin) 2.ARHGAP3; RHOGAP3.chimerin (chimaerin) 2.
10521	DDX17	7.19069e-12	DEAD (Asp-Glu-Ala-Asp) box polypeptide 17.P72; RH70.DEAD box polypeptide 17 isoform p82.
2743	GLRB	9.6918e-12	glycine receptor, beta..glycine receptor, beta.
5881	RAC3	9.80549e-12	ras-related C3 botulinum toxin substrate 3 (rho family, small GTP binding protein Rac3)..ras-related C3 botulinum toxin substrate 3 (rho family, small GTP binding protein Rac3).
11197	WIF1	1.14539e-11	WNT inhibitory factor 1.WIF-1.Wnt inhibitory factor-1 precursor.
348	APOE	1.25908e-11	apolipoprotein E..apolipoprotein E.
26040	SETBP1	1.56604e-11	SET binding protein 1.SEB; KIAA0437.SET binding protein 1.
2173	FABP7	2.0151e-11	fatty acid binding protein 7, brain.FABPB; B-FABP.fatty acid binding protein 7, brain.
2705	GJB1	2.31068e-11	gap junction protein, beta 1, 32kDa (connexin 32, Charcot-Marie-Tooth neuropathy, X-linked).CMTX; CX32; CMTX1.gap junction protein, beta 1, 32kDa (connexin 32, Charcot-Marie-Tooth neuropathy, X-linked).
7546	ZIC2	3.45892e-11	Zic family member 2 (odd-paired homolog, Drosophila).HPE5.zinc finger protein of the cerebellum 2.
5210	PFKFB4	3.59535e-11	6
2260	FGFR1	3.77725e-11	fibroblast growth factor receptor 1 (fms-related tyrosine kinase 2, Pfeiffer syndrome).H2; H3; H4; H5; CEK; FLG; FLT2; KAL2; BFGFR; C-FGR; N-SAM; FLJ14326.fibroblast growth factor receptor 1 isoform 9 precursor.
3741	KCNA5	4.51621e-11	potassium voltage-gated channel, shaker-related subfamily, member 5.HK2; HCK1; PCN1; HPCN1; KV1.5.potassium voltage-gated channel, shaker-related subfamily, member 5.
10912	GADD45G	4.7379e-11	growth arrest and DNA-damage-inducible, gamma.CR6; DDIT2; GRP17; GADD45gamma; GADD45-GAMMA.growth arrest and DNA-damage-inducible, gamma.
2034	EPAS1	5.27223e-11	endothelial PAS domain protein 1.MOP2; HIF2A.endothelial PAS domain protein 1.
26047	CNTNAP2	5.98845e-11	contactin associated protein-like 2.NRXN4; CASPR2; KIAA0868.cell recognition molecule Caspr2 precursor.
6620	SNCB	6.807e-11	synuclein, beta..beta-synuclein.
771	CA12	7.64828e-11	carbonic anhydrase XII..carbonic anhydrase XII precursor.
873	CBR1	7.77334e-11	carbonyl reductase 1.CBR.carbonyl reductase 1.
3371	TNC	1.01267e-10	tenascin C (hexabrachion).TN; HXB.tenascin C (hexabrachion).
8470		1.14454e-10	KIAA0777.ArgAbl-interacting protein 2 isoform 2.
9751	SNPH	1.24857e-10	syntaphilin.KIAA0374; MGC46096; bA314N13.5.syntaphilin.
3429	IFI27	1.51402e-10	interferon, alpha-inducible protein 27.P27; ISG12.interferon, alpha-inducible protein 27.
4684	NCAM1	1.68058e-10	neural cell adhesion molecule 1.CD56; NCAM.neural cell adhesion molecule 1.Neural cell adhesion molecule 1; regulates interactions between neurons and between neurons and muscle; member of the immunoglobulin superfamily|Proteome
1759	DNM1	1.79142e-10	dynamin 1.DNM.dynamin 1.
2263	FGFR2	1.94035e-10	fibroblast growth factor receptor 2 (bacteria-expressed kinase, keratinocyte growth factor receptor, craniofacial dysostosis 1, Crouzon syndrome, Pfeiffer syndrome, Jackson-Weiss syndrome).BEK; JWS; CEK3; CFD1; ECT1; KGFR; TK14; TK25; BFR-1; K-SAM.fibroblast growth factor receptor 2 isoform 9 precursor.
10579	TACC2	2.44057e-10	transforming, acidic coiled-coil containing protein 2.AZU-1.transforming, acidic coiled-coil containing protein 2.
1572	CYP2F1	2.53664e-10	cytochrome P450, family 2, subfamily F, polypeptide 1.C2F1; CYP2F.cytochrome P450, family 2, subfamily F, polypeptide 1.
2026	ENO2	2.5446e-10	enolase 2, (gamma, neuronal).NSE.enolase 2.
192683		2.80835e-10	secretory carrier membrane protein 5.
9079	LDB2	3.32449e-10	LIM domain binding 2.LDB1; CLIM1.LIM domain binding 2.LIM domain binding 2; modulates transcriptional activation by LIM homeoproteins; very strongly similar to murine Mm.8266 which may play a role in the differentiation of neuronal lineages through association with murine Lhx9|Proteome
5653	KLK6	3.4899e-10	kallikrein 6 (neurosin, zyme).SP59; PRSS9; MGC9355; NEUROSIN.kallikrein 6 preproprotein.
1152	CKB	4.19249e-10	creatine kinase, brain.B-CK; CKBB.brain creatine kinase.
4638	MYLK	4.50854e-10	myosin, light polypeptide kinase.KRP; MLCK; MLCK108; MLCK210; FLJ12216.myosin light chain kinase isoform 6.
5078	PAX4	4.61768e-10	paired box gene 4..paired box gene 4.
23046		4.94225e-10	KIAA0449; DKFZP434J212..
9783	RIMS3	5.206e-10	regulating synaptic membrane exocytosis 3.NIM3; RIM3; KIAA0237.regulating synaptic membrane exocytosis 3.
361	AQP4	6.69701e-10	aquaporin 4.MIWC; HMIWC2.aquaporin 4 isoform b.
9915	ARNT2	7.84581e-10	aryl-hydrocarbon receptor nuclear translocator 2.KIAA0307.aryl-hydrocarbon receptor nuclear translocator 2.
27121	DKK4	9.78758e-10	dickkopf homolog 4 (Xenopus laevis).DKK-4; hdkk-4.dickkopf homolog 4.
2788	GNG7	9.90411e-10	guanine nucleotide binding protein (G protein), gamma 7..guanine nucleotide binding protein (G protein), gamma 7.
1978	EIF4EBP1	1.21307e-09	eukaryotic translation initiation factor 4E binding protein 1.4EBP1; PHAS-I.eukaryotic translation initiation factor 4E binding protein 1.
3250	HPR	1.32312e-09	haptoglobin-related protein..haptoglobin-related protein.
9844	ELMO1	1.45505e-09	engulfment and cell motility 1 (ced-12 homolog, C. elegans).CED12; KIAA0281.engulfment and cell motility 1 isoform 2.
9993	DGCR2	1.53986e-09	DiGeorge syndrome critical region gene 2.IDD; LAN; DGS-C; SEZ-12; KIAA0163.integral membrane protein DGCR2.
90355		3.26671e-09	hypothetical protein LOC90355.
2244	FGB	3.41467e-09	fibrinogen, B beta polypeptide..fibrinogen, beta chain preproprotein.
23236	PLCB1	3.45571e-09	phospholipase C, beta 1 (phosphoinositide-specific).PLC-I; PI-PLC; PLC-154.phosphoinositide-specific phospholipase C beta 1 isoform b.
1292	COL6A2	3.51915e-09	collagen, type VI, alpha 2.PP3610; DKFZp586E1322.alpha 2 type VI collagen isoform 2C2a precursor.
5105	PCK1	3.80933e-09	phosphoenolpyruvate carboxykinase 1 (soluble).PEPCK1; PEPCKC; MGC22652.cytosolic phosphoenolpyruvate carboxykinase 1.
26137	ZNF288	3.92677e-09	zinc finger protein 288.HOF; DPZF; ODA-8S; DKFZp566F123.zinc finger protein 288.
5999	RGS4	4.17961e-09	regulator of G-protein signalling 4.RGP4; MGC2124; MGC60244.regulator of G-protein signaling 4.
3486	IGFBP3	4.28483e-09	insulin-like growth factor binding protein 3.IBP3.insulin-like growth factor binding protein 3.
5654	PRSS11	4.37572e-09	protease, serine, 11 (IGF binding).L56; HtrA; HTRA1; ORF480.protease, serine, 11.
11031	RAB31	6.03509e-09	RAB31, member RAS oncogene family.Rab22B.RAB31, member RAS oncogene family.
1628	DBP	6.62791e-09	D site of albumin promoter (albumin D-box) binding protein.DABP.D site of albumin promoter (albumin D-box) binding protein.
6414	SEPP1	7.07698e-09	selenoprotein P, plasma, 1.SeP.selenoprotein P precursor.
1804	DPP6	7.95583e-09	dipeptidylpeptidase 6.DPPX.dipeptidylpeptidase VI isoform 2.
25977		1.66766e-08	DKFZP566B183 protein.
3265	HRAS	2.25222e-08	v-Ha-ras Harvey rat sarcoma viral oncogene homolog.HRAS1; RASH1.v-Ha-ras Harvey rat sarcoma viral oncogene homolog.Harvey ras; binds GTP and transmits signals from growth factor receptors|Proteome
1993	ELAVL2	2.2704e-08	ELAV (embryonic lethal, abnormal vision, Drosophila)-like 2 (Hu antigen B).HUB; HELN1; HEL-N1.ELAV (embryonic lethal, abnormal vision, Drosophila)-like 2 (Hu antigen B).
2152	F3	2.37248e-08	coagulation factor III (thromboplastin, tissue factor).TF; TFA; CD142.coagulation factor III precursor.
80256		2.38396e-08	KIAA1539.hypothetical protein FLJ11560.
5310	PKD1	2.39714e-08	polycystic kidney disease 1 (autosomal dominant).PBP.polycystin 1 precursor.
894	CCND2	3.03371e-08	cyclin D2.KIAK0002.cyclin D2.
341	APOC1	4.69899e-08	apolipoprotein C-I..apolipoprotein C-I precursor.
4495	MT1G	4.70751e-08	metallothionein 1G.MT1; MGC12386.metallothionein 1G.
5142	PDE4B	4.79116e-08	phosphodiesterase 4B, cAMP-specific (phosphodiesterase E4 dunce homolog, Drosophila).DPDE4; PDEIVB.phosphodiesterase 4B, cAMP-specific (phosphodiesterase E4 dunce homolog, Drosophila).
55970	GNG12	5.27063e-08	guanine nucleotide binding protein (G protein), gamma 12..G-protein gamma-12 subunit.
2052	EPHX1	5.41026e-08	epoxide hydrolase 1, microsomal (xenobiotic).MEH; EPHX; EPOX.epoxide hydrolase 1, microsomal (xenobiotic).
7078	TIMP3	6.71702e-08	tissue inhibitor of metalloproteinase 3 (Sorsby fundus dystrophy, pseudoinflammatory).SFD; K222TA2; HSMRK222.tissue inhibitor of metalloproteinase 3.
4208	MEF2C	7.79324e-08	MADS box transcription enhancer factor 2, polypeptide C (myocyte enhancer factor 2C)..MADS box transcription enhancer factor 2, polypeptide C (myocyte enhancer factor 2C).
2254	FGF9	8.49108e-08	fibroblast growth factor 9 (glia-activating factor).GAF; HBFG-9.fibroblast growth factor 9 precursor.
1002	CDH4	8.54581e-08	cadherin 4, type 1, R-cadherin (retinal).CAD4; RCAD.cadherin 4, type 1 preproprotein.
429	ASCL1	9.42436e-08	achaete-scute complex-like 1 (Drosophila).ASH1; HASH1; MASH1.achaete-scute complex homolog-like 1.
131408		1.00554e-07	hypothetical protein MGC21688.
1755	DMBT1	1.04036e-07	deleted in malignant brain tumors 1.GP340.deleted in malignant brain tumors 1 isoform c precursor.
7991		1.37354e-07	D8S1992; MGC13453.Putative prostate cancer tumor suppressor isoform b.
3638	INSIG1	2.02368e-07	insulin induced gene 1.CL-6; MGC1405.insulin induced gene 1 isoform 3.
4524	MTHFR	2.17312e-07	5
21	ABCA3	2.32984e-07	ATP-binding cassette, sub-family A (ABC1), member 3.ABC3; ABC-C; LBM180; EST111653.ATP-binding cassette, sub-family A member 3.
4005	LMO2	2.49301e-07	LIM domain only 2 (rhombotin-like 1).TTG2; RBTN2; RHOM2; RBTNL1.LIM domain only 2.
321	APBA2	2.67404e-07	amyloid beta (A4) precursor protein-binding, family A, member 2 (X11-like).X11L; MINT2; LIN-10; D15S1518E; MGC:14091.amyloid beta A4 precursor protein-binding, family A, member 2.
1056	CEL	3.22223e-07	carboxyl ester lipase (bile salt-stimulated lipase).BAL; FAP; BSDL; BSSL; CELL; FAPP; LIPA; CEase.carboxyl ester lipase precursor.
4974	OMG	3.24771e-07	oligodendrocyte myelin glycoprotein.OMGP.oligodendrocyte myelin glycoprotein.
27347	STK39	3.4639e-07	serine threonine kinase 39 (STE20SPS1 homolog, yeast).DCHT; SPAK.serine threonine kinase 39 (STE20SPS1 homolog, yeast).
3730	KAL1	3.52485e-07	Kallmann syndrome 1 sequence.HHA; KAL; KMS; ADMLX; KALIG-1.Kallmann syndrome 1 protein.
8349	HIST2H2BE	3.54496e-07	histone 2, H2be.H2B; GL105; H2B.1; H2Bq; H2BFQ.H2B histone family, member Q.
83604	TM4SF10	3.65321e-07	transmembrane 4 superfamily member 10.TfIIAab; BCMP1; MGC32949; DKFZp564E153; DKFZP761J17121.transmembrane 4 superfamily member 10.
9415	FADS2	3.75362e-07	fatty acid desaturase 2.D6D; DES6; TU13; FADSD6; LLCDL2; SLL0262.fatty acid desaturase 2.
11151	CORO1A	3.9064e-07	coronin, actin binding protein, 1A.p57; TACO; CLABP; HCORO1; CLIPINA; Clabp TACO.coronin, actin binding protein, 1A.
10245	TIMM17B	4.40509e-07	translocase of inner mitochondrial membrane 17 homolog B (yeast).JM3; TIM17B; DXS9822.translocase of inner mitochondrial membrane 17 homolog B.
5996	RGS1	4.86887e-07	regulator of G-protein signalling 1.1R20; BL34; IER1; IR20.regulator of G-protein signalling 1.
10752	CHL1	5.41233e-07	cell adhesion molecule with homology to L1CAM (close homolog of L1).CALL; L1CAM2.cell adhesion molecule with homology to L1CAM precursor.
398	ARHGDIG	6.23004e-07	Rho GDP dissociation inhibitor (GDI) gamma..Rho GDP dissociation inhibitor (GDI) gamma.
10656	KHDRBS3	6.33454e-07	KH domain containing, RNA binding, signal transduction associated 3.Etle; SALP; SLM2; SLM-2; T-STAR; etoile.KH domain containing, RNA binding, signal transduction associated 3.
535	ATP6V0A1	7.10651e-07	ATPase, H transporting, lysosomal V0 subunit a isoform 1.a1; Stv1; VPP1; Vph1; ATP6N1; ATP6N1A.ATPase, H transporting, lysosomal V0 subunit a isoform 1.
8653	DDX3Y	7.13367e-07	DEAD (Asp-Glu-Ala-Asp) box polypeptide 3, Y-linked.DBY.DEAD (Asp-Glu-Ala-Asp) box polypeptide 3, Y-linked.
9399	STOML1	8.42097e-07	stomatin (EPB72)-like 1.SLP-1; STORP; hUNC-24.stomatin (EPB72)-like 1.Stomatin-like protein 1; similar to C. elegans UNC-24, contains an N-terminal stomatin-like and a C-terminal non-specific lipid transfer protein domain|Proteome
1026	CDKN1A	8.93405e-07	cyclin-dependent kinase inhibitor 1A (p21, Cip1).P21; CIP1; SDI1; WAF1; CAP20; CDKN1; MDA-6.cyclin-dependent kinase inhibitor 1A.
4915	NTRK2	9.38635e-07	neurotrophic tyrosine kinase, receptor, type 2.TRKB.neurotrophic tyrosine kinase, receptor, type 2.Receptor protein tyrosine kinase, type 2; binds brain-derived neurotrophic factor (BDNF) and NTF3|Proteome
24148	C20orf14	9.56742e-07	chromosome 20 open reading frame 14.TOM; ANT-1.U5 snRNP-associated 102 kDa protein.
7447	VSNL1	1.07367e-06	visinin-like 1.VILIP; HPCAL3.visinin-like 1.
1917	EEF1A2	1.20171e-06	eukaryotic translation elongation factor 1 alpha 2.HS1; STN; EF1A; EEF1AL; EF-1-alpha-2.eukaryotic translation elongation factor 1 alpha 2.
5064	PALM	1.30296e-06	paralemmin.KIAA0270.paralemmin.
9962	SLC23A2	1.36384e-06	solute carrier family 23 (nucleobase transporters), member 2.NBTL1; SVCT2; YSPL2; SLC23A1; KIAA0238.solute carrier family 23 (nucleobase transporters), member 2.
501	ALDH7A1	1.37677e-06	aldehyde dehydrogenase 7 family, member A1.ATQ1.antiquitin.
713	C1QB	1.44915e-06	complement component 1, q subcomponent, beta polypeptide..complement component 1, q subcomponent, beta polypeptide precursor.
2897	GRIK1	1.85348e-06	glutamate receptor, ionotropic, kainate 1.EAA3; EEA3; GLR5; GLUR5.Glutamate receptor, ionotropic, kainate 1 isoform 2 precursor.
288	ANK3	1.9847e-06	ankyrin 3, node of Ranvier (ankyrin G)..ankyrin 3 isoform 2.
3162	HMOX1	2.53218e-06	heme oxygenase (decycling) 1.HO-1; bK286B10.heme oxygenase (decyclizing) 1.
2487	FRZB	2.82566e-06	frizzled-related protein.FRP-3; FRZB1; SFRP3; FRZB-PEN.frizzled-related protein.
2196	FAT2	3.19638e-06	FAT tumor suppressor homolog 2 (Drosophila).CDHF8; HFAT2; MEGF1.FAT tumor suppressor 2 precursor.
9863		3.22153e-06	ARIP1; MAGI-2; ACVRIP1; KIAA0705.atrophin-1 interacting protein 1.
7301	TYRO3	4.31085e-06	TYRO3 protein tyrosine kinase.BYK; RSE.TYRO3 protein tyrosine kinase.
9649		4.3386e-06	RALGEF2; KIAA0351.Ral guanine nucleotide exchange factor RalGPS1A.
2697	GJA1	4.85235e-06	gap junction protein, alpha 1, 43kDa (connexin 43).ODD; CX43; ODDD; ODOD; SDTY3; DFNB38.connexin 43.
4741	NEF3	4.96318e-06	neurofilament 3 (150kDa medium).NFM; NEFM; NF-M.neurofilament 3 (150kDa medium).
4629	MYH11	5.02085e-06	myosin, heavy polypeptide 11, smooth muscle.SMHC; SMMHC.smooth muscle myosin heavy chain 11 isoform SM2.
3485	IGFBP2	5.33693e-06	insulin-like growth factor binding protein 2, 36kDa.IBP2; IGF-BP53.insulin-like growth factor binding protein 2, 36kDa.
6833	ABCC8	5.69336e-06	ATP-binding cassette, sub-family C (CFTRMRP), member 8.HI; SUR; MRP8; PHHI; SUR1; ABC36; HRINS.ATP-binding cassette, sub-family C, member 8.
5569	PKIA	5.91153e-06	protein kinase (cAMP-dependent, catalytic) inhibitor alpha.PRKACN1.cAMP-dependent protein kinase inhibitor alpha.
5412	UBL3	6.1873e-06	ubiquitin-like 3.HCG-1; PNSC1; DKFZP434K151.ubiquitin-like 3.
57509		6.82783e-06	MP44; ATIP1; FLJ14295; KIAA1288; DKFZp586D1519..
9805		7.30322e-06	KIAA0193.secernin 1.
9705	ST18	8.29689e-06	suppression of tumorigenicity 18 (breast carcinoma) (zinc finger protein).ZNF387; KIAA0535.suppression of tumorigenicity 18.
60528	ELAC2	8.72316e-06	elaC homolog 2 (E. coli).ELC2; HPC2; FLJ10530.elaC homolog 2.
3300	DNAJB2	9.05284e-06	DnaJ (Hsp40) homolog, subfamily B, member 2.HSJ1; HSPF3.DnaJ (Hsp40) homolog, subfamily B, member 2.
10982	MAPRE2	9.12647e-06	microtubule-associated protein, RPEB family, member 2.EB1; EB2; RP1.microtubule-associated protein, RPEB family, member 2.
7021	TFAP2B	9.42734e-06	transcription factor AP-2 beta (activating enhancer binding protein 2 beta).CHAR; AP-2B; AP2-B.transcription factor AP-2 beta (activating enhancer binding protein 2 beta).
862	CBFA2T1	9.46472e-06	core-binding factor, runt domain, alpha subunit 2; translocated to, 1; cyclin D-related.CDR; ETO; MTG8; AML1T1; ZMYND2; MGC2796.acute myelogenous leukemia 1 translocation 1 protein isoform MTG8c.
1943	EFNA2	9.68666e-06	ephrin-A2.ELF-1; EPLG6; LERK6; HEK7-L.ephrin-A2 precursor.
10297		1.00442e-05	APC2.adenomatous polyposis coli like.
745	C11orf9	1.01133e-05	chromosome 11 open reading frame 9.KIAA0954; MGC10781.chromosome 11 open reading frame 9.
51363		1.4246e-05	BRAG; KIAA0598.B cell RAG associated protein.
3851	KRT4	1.51938e-05	keratin 4.K4; CK4; CYK4; FLJ31692.keratin 4.
5800	PTPRO	1.64957e-05	protein tyrosine phosphatase, receptor type, O.PTPU2; GLEPP1; PTP-U2.receptor-type protein tyrosine phosphatase O isoform d precursor.
491	ATP2B2	1.70174e-05	ATPase, Ca transporting, plasma membrane 2.PMCA2.ATPase, Ca transporting, plasma membrane 2.
5860	QDPR	1.71828e-05	quinoid dihydropteridine reductase.DHPR; PKU2.quinoid dihydropteridine reductase.
4155	MBP	1.96562e-05	myelin basic protein..myelin basic protein.
50855	PARD6A	2.04671e-05	par-6 partitioning defective 6 homolog alpha (C.elegans).PAR-6; TAX40; PAR-6A; TIP-40; PAR6alpha.Tax interaction protein 40.
2983	GUCY1B3	2.27477e-05	guanylate cyclase 1, soluble, beta 3.GUCB3; GC-SB3; GUC1B3; GUCSB3; GC-S-beta-1.guanylate cyclase 1, soluble, beta 3.
57060	PCBP4	2.36128e-05	poly(rC) binding protein 4.LIP4; MCG10.poly(rC) binding protein 4 isoform c.
5439	POLR2J	2.39734e-05	polymerase (RNA) II (DNA directed) polypeptide J, 13.3kDa.RPB11; RPB11A; RPB11m; hRPB14; POLR2J1.DNA directed RNA polymerase II polypeptide J.
23466	CBX6	2.91056e-05	chromobox homolog 6..chromobox homolog 6.
6659	SOX4	2.91155e-05	SRY (sex determining region Y)-box 4.EVI16.SRY (sex determining region Y)-box 4.
6511	SLC1A6	3.44839e-05	solute carrier family 1 (high affinity aspartateglutamate transporter), member 6.EAAT4.solute carrier family 1 (high affinity aspartateglutamate transporter), member 6.
2941	GSTA4	3.51577e-05	glutathione S-transferase A4.GTA4; GSTA4-4.glutathione S-transferase A4.
9053	MAP7	3.64357e-05	microtubule-associated protein 7.EMAP115; E-MAP-115.microtubule-associated protein 7.
4356	MPP3	3.73022e-05	membrane protein, palmitoylated 3 (MAGUK p55 subfamily member 3).DLG3.palmitoylated membrane protein 3.
10810	WASF3	3.88924e-05	WAS protein family, member 3.SCAR3; WAVE3; KIAA0900.WAS protein family, member 3.
6585	SLIT1	3.96423e-05	slit homolog 1 (Drosophila).MEGF4; SLIL1; SLIT3; Slit-1.slit homolog 1.
10278	EFS	4.23224e-05	embryonal Fyn-associated substrate.SIN; EFS1; EFS2; HEFS.embryonal Fyn-associated substrate isoform 2.
755	C21orf2	4.46e-05	chromosome 21 open reading frame 2.A2; YF5.chromosome 21 open reading frame 2.
10608	MXD4	4.63408e-05	MAX dimerization protein 4.MAD4.MAD4.
1999	ELF3	4.79151e-05	E74-like factor 3 (ets domain transcription factor, epithelial-specific ).ERT; ESX; EPR-1; ESE-1.E74-like factor 3 (ets domain transcription factor, epithelial-specific ).ETS domain transcriptional activator; activates expression of epithelial cell specific genes|Proteome
15	AANAT	4.87479e-05	arylalkylamine N-acetyltransferase.SNAT; AA-NAT.arylalkylamine N-acetyltransferase.
6712	SPTBN2	5.88006e-05	spectrin, beta, non-erythrocytic 2..spectrin, beta, non-erythrocytic 2.
9542	NRG2	5.99191e-05	neuregulin 2.NTAK; Don-1.neuregulin 2 isoform 6.
9997	SCO2	6.26714e-05	SCO cytochrome oxidase deficient homolog 2 (yeast).SCO1L.cytochrome oxidase deficient homolog 2.
9355	LHX2	6.61258e-05	LIM homeobox 2.LH2; hLhx2.LIM homeobox protein 2.
883	CCBL1	7.3271e-05	cysteine conjugate-beta lyase; cytoplasmic (glutamine transaminase K, kyneurenine aminotransferase)..cytoplasmic cysteine conjugate-beta lyase.
27303	RBMS3	7.88247e-05	RNA binding motif, single stranded interacting protein..RNA binding motif, single stranded interacting protein.
3489	IGFBP6	7.88951e-05	insulin-like growth factor binding protein 6.IBP6.insulin-like growth factor binding protein 6.
8910	SGCE	8.0722e-05	sarcoglycan, epsilon.ESG; DYT11.sarcoglycan, epsilon.
773	CACNA1A	8.34684e-05	calcium channel, voltage-dependent, PQ type, alpha 1A subunit.EA2; FHM; MHP; APCA; HPCA; MHP1; SCA6; CACNL1A4.calcium channel, alpha 1A subunit isoform 2.
7088	TLE1	9.81109e-05	transducin-like enhancer of split 1 (E(sp1) homolog, Drosophila).ESG; ESG1; GRG1.transducin-like enhancer protein 1.
9945	GFPT2	0.000105881	glutamine-fructose-6-phosphate transaminase 2.GFAT2.glutamine-fructose-6-phosphate transaminase 2.
4858	NOVA2	0.000120341	neuro-oncological ventral antigen 2.ANOVA; NOVA3.neuro-oncological ventral antigen 2.
10472	ZNF238	0.000122185	zinc finger protein 238.RP58; TAZ-1; C2H2-171.zinc finger protein 238.
2195	FAT	0.000124594	FAT tumor suppressor homolog 1 (Drosophila).ME5; CDHF7.FAT tumor suppressor precursor.
1949	EFNB3	0.000130821	ephrin-B3.EFL6; EPLG8; LERK8.ephrin-B3 precursor.
793	CALB1	0.000138267	calbindin 1, 28kDa.CALB.calbindin 1.
8869	SIAT9	0.00015921	sialyltransferase 9 (CMP-NeuAc:lactosylceramide alpha-2,3-sialyltransferase; GM3 synthase).ST3GalV; SIATGM3S.sialyltransferase 9.
1850	DUSP8	0.000169061	dual specificity phosphatase 8.HB5; HVH8; HVH-5.dual specificity phosphatase 8.
29970	SCHIP1	0.000169681	schwannomin interacting protein 1.SCHIP-1.schwannomin interacting protein 1.Associates with the neurofibromatosis type 2 protein schwannomin (NF2); contains a coiled-coil domain|Proteome
23641	LDOC1	0.000206976	leucine zipper, down-regulated in cancer 1.BCUR1.leucine zipper, down-regulated in cancer 1.
22795	NID2	0.000220481	nidogen 2 (osteonidogen)..nidogen 2.
6752	SSTR2	0.000223275	somatostatin receptor 2..somatostatin receptor 2.
7124	TNF	0.000233986	tumor necrosis factor (TNF superfamily, member 2).DIF; TNFA; TNFSF2; CACHECTIN.tumor necrosis factor alpha.
22895	RPH3A	0.000239569	rabphilin 3A homolog (mouse).KIAA0985; rabphilin.rabphilin 3A homolog.
11145	HRASLS3	0.000269121	HRAS-like suppressor 3.HREV107; HREV107-3; H-REV107-1.HRAS-like suppressor 3.
1267	CNP	0.00027289	2
1462	CSPG2	0.000309971	chondroitin sulfate proteoglycan 2 (versican).VERSICAN.chondroitin sulfate proteoglycan 2 (versican).
5187	PER1	0.000337987	period homolog 1 (Drosophila).PER; RIGUI.period 1.
25830	SULT4A1	0.000444647	sulfotransferase family 4A, member 1.NST; SULTX3; BR-STL-1; MGC40032; DJ388M5.3; hBR-STL-1.sulfotransferase family 4A, member 1 isoform b.
275	AMT	0.000445977	aminomethyltransferase (glycine cleavage system protein T).GCE; NKH; GCST.aminomethyltransferase (glycine cleavage system protein T).
5530	PPP3CA	0.000500724	protein phosphatase 3 (formerly 2B), catalytic subunit, alpha isoform (calcineurin A alpha).CALN; CCN1; CNA1; CALNA; PPP2B; CALNA1.protein phosphatase 3 (formerly 2B), catalytic subunit, alpha isoform (calcineurin A alpha).
25797	QPCT	0.000509798	glutaminyl-peptide cyclotransferase (glutaminyl cyclase).QC; GCT.glutaminyl-peptide cyclotransferase precursor.
7089	TLE2	0.000510519	transducin-like enhancer of split 2 (E(sp1) homolog, Drosophila).ESG; ESG2.transducin-like enhancer protein 2.
51382	ATP6V1D	0.00053713	ATPase, H transporting, lysosomal 34kDa, V1 subunit D.VATD; VMA8; ATP6M.ATPase, H transporting, lysosomal 34kD, V1 subunit D.
2566	GABRG2	0.00066563	gamma-aminobutyric acid (GABA) A receptor, gamma 2.CAE2; ECA2; GEFSP3.gamma-aminobutyric acid A receptor, gamma 2 isoform 3.
54738		0.000732512	FEV; PET-1.FEV protein.
9452	ITM2A	0.000822347	integral membrane protein 2A.E25A; BRICD2A.integral membrane protein 2A.
8284	SMCY	0.000844455	Smcy homolog, Y-linked (mouse).HY; HYA; KIAA0234.Smcy homolog, Y chromosome.
3925	STMN1	0.000865266	stathmin 1oncoprotein 18.Lag; SMN; OP18; PP17; PP19; PR22; LAP18.stathmin 1.
1951	CELSR3	0.000901659	cadherin, EGF LAG seven-pass G-type receptor 3 (flamingo homolog, Drosophila).FMI1; EGFL1; HFMI1; MEGF2; CDHF11.cadherin EGF LAG seven-pass G-type receptor 3.
5567	PRKACB	0.000930355	protein kinase, cAMP-dependent, catalytic, beta..protein kinase, cAMP-dependent, catalytic, beta isoform b.
5590	PRKCZ	0.0009506	protein kinase C, zeta.PKC2.protein kinase C, zeta.
482	ATP1B2	0.0010261	ATPase, NaK transporting, beta 2 polypeptide.AMOG.ATPase, NaK transporting, beta 2 polypeptide.
6782	STCH	0.00103845	stress 70 protein chaperone, microsome-associated, 60kDa..stress 70 protein chaperone, microsome-associated, 60kDa.
6662	SOX9	0.0010542	SRY (sex determining region Y)-box 9 (campomelic dysplasia, autosomal sex-reversal).CMD1; SRA1; CMPD1.transcription factor SOX9.
27245		0.00105746	CL23945..
