"fold","mse_lasso","mse_trans_lasso","mse_naive_trans_lasso","n_informative"
1,0.184267553036437,0.146746039856451,0.190187015764304,6
2,0.364171824767223,0.215141540289954,0.22977080799351,9
3,0.331967285226913,0.186206823110049,0.171721659356098,6
4,0.213167041987481,0.107095768836938,0.103907211124664,9
5,0.41259435908102,0.211187785839293,0.219343528308668,4
